City/Town,Ward,Pct,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
Franklin,-,4,"1,236",989,129,16,0,0,0,0,0,76,0,41,"2,487"
Franklin,-,5,"1,252",885,119,19,0,0,0,0,0,58,0,49,"2,382"
Franklin,-,6,"1,139",730,138,29,0,0,0,0,0,47,0,30,"2,113"
Franklin,-,7,"1,355",888,137,22,0,0,0,0,0,58,0,43,"2,503"
Franklin,-,8,"1,156",971,136,26,0,0,0,0,0,64,0,32,"2,385"
Freetown,-,1,665,910,58,18,0,0,0,0,0,36,0,18,"1,705"
Freetown,-,2,707,875,57,21,2,0,0,0,0,27,0,14,"1,703"
Freetown,-,3,663,864,63,29,0,0,0,0,0,24,0,26,"1,669"
Gardner,1,A,556,415,60,17,3,0,0,0,0,26,0,8,"1,085"
Gardner,1,B,170,217,27,5,0,0,0,0,0,10,0,9,438
Gardner,2,A,480,382,61,19,2,0,0,0,0,14,0,16,974
Gardner,2,B,441,486,97,16,0,0,0,0,0,6,0,14,"1,060"
Gardner,3,A,403,324,55,17,1,0,0,0,0,14,0,8,822
Gardner,3,B,529,392,67,13,0,0,0,0,0,20,0,20,"1,041"
Gardner,4,A,485,294,48,24,1,0,0,0,0,14,0,15,881
Gardner,4,B,297,229,48,15,0,0,0,0,0,8,0,11,608
Gardner,5,A,389,315,45,11,0,0,0,0,0,15,0,11,786
Gardner,5,B,446,488,82,20,0,0,0,0,0,18,0,13,"1,067"
Georgetown,-,1,863,848,114,18,0,0,0,0,0,31,0,19,"1,893"
Georgetown,-,2,727,725,117,20,5,0,0,0,0,26,0,24,"1,644"
Georgetown,-,3,757,655,100,11,6,0,0,0,0,19,0,17,"1,565"
Gill,-,1,579,259,57,32,0,0,0,0,0,21,0,5,953
Gloucester,1,1,"1,197",541,81,33,4,0,0,0,0,24,0,35,"1,915"
Gloucester,1,2,919,545,74,31,0,0,0,0,0,27,0,22,"1,618"
Gloucester,2,1,762,423,53,20,0,0,0,0,0,26,0,22,"1,306"
Gloucester,2,2,788,342,53,27,6,0,0,0,0,18,0,19,"1,253"
Gloucester,3,1,815,479,54,25,1,0,0,0,0,26,0,18,"1,418"
Gloucester,3,2,853,515,70,19,0,0,0,0,0,20,0,16,"1,493"
Gloucester,4,1,976,605,68,23,2,0,0,0,0,29,0,23,"1,726"
Gloucester,4,2,"1,301",521,93,40,5,0,0,0,0,43,0,31,"2,034"
Gloucester,5,1,"1,141",669,82,29,1,0,0,0,0,43,0,32,"1,997"
Gloucester,5,2,"1,056",715,68,33,0,0,0,0,0,47,0,29,"1,948"
Goshen,-,1,364,213,28,15,0,0,0,0,0,5,0,13,638
Gosnold,-,1,36,27,2,0,0,0,0,0,0,3,0,3,71
Grafton,-,1,"1,061",806,130,32,4,0,0,0,0,22,0,36,"2,091"
Grafton,-,2,"1,084",767,127,29,7,0,0,0,0,20,0,38,"2,072"
Grafton,-,3,"1,103",739,100,13,11,0,0,0,0,30,0,37,"2,033"
Grafton,-,4,901,743,110,36,4,0,0,0,0,19,0,26,"1,839"
Grafton,-,5,"1,223",828,119,20,6,0,0,0,0,27,0,29,"2,252"
Granby,-,1,949,809,98,50,0,0,0,0,0,12,0,53,"1,971"
